content,place,year,month
@Nedsfeed @elonmusk If it's only one car in a year it's nothing. And using electricity to write dumb tweets. Cars atleast are of some use your tweets are causing global warming and headache to ppl,africa,2022,August
@GlobalWarming stopppppp!!!!! stop ittttttt!!!!!!!!!! 😫😫😫😫,africa,2022,August
we need to stop global warming so i can grow to become an old man working at a bodega that's full of cats,africa,2022,August
"@antonioguterres #Reward for a better #greenish world!
Ethiopia would be deserved for the  rewards for a better to reduce impacts of #global climate crisis. #LUCY's country (Ethiopia) was planted 25 billions to oppose the #global warming since 2019. Reward would  motivate for the #greenish world.",africa,2022,August
"#Reward for a better #greenish world!
Ethiopia would be deserved for the  rewards for a better to reduce impacts of #global climate crisis. #LUCY's country (Ethiopia) was planted 25 billions to oppose the #global warming since 2019. Reward would  motivate for the #greenish world. https://t.co/HkMSWoPYcE",africa,2022,August
@NaaLantswei Global warming,africa,2022,August
"When I last hiked the Rwenzoris, my guide told me that what I was looking at as open rocks years back where all covered by snow. Because of global warming which has led to climate change the snow started reducing rapidly. What does this mean to this Great Mountain? https://t.co/RDCJ67ey9Q",africa,2022,August
Does anyone else think its strange and suspicious that while the new Global warming campaign by ?NATO is going on lots of really bad and strange weather related disasters are happening all over the globe. Weather manipulation ?,africa,2022,August
@ksywilliams21 He wan dey cause global warming,africa,2022,August
"He also cited climate change as another factor: ""The heavy downpour experienced this August points to the impact and consequence of global warming and climate change.""",africa,2022,August
"#Reward for a better #greenish world!
Ethiopia would be deserved for the  rewards for a better to reduce impacts of #global climate crisis. #LUCY's country (Ethiopia) was planted 25 billions to oppose the #global warming since 2019. Reward would  motivate for the #greenish world. https://t.co/40xNLugylV",africa,2022,August
"🤥 Global warming!!¡¡
The #Greenland ice sheet gained 7 Gigatons of mass in just one day yesterday, the largest daily gain ever recorded during the summer.

https://t.co/3e2QWh4C4Q https://t.co/DcKV98doYN",africa,2022,August
@peterr_nm Btw how we go solve global warming?,africa,2022,August
"@_Namasteh @KPJJalen @Zimonyi_ @EmilyLindin Oh my😱...that's new🥴...now enjoy a hot cup of coffee☕...
you just saved penguins from global warming!🤗",africa,2022,August
@SKMorefield I-d-i-o-t! 1000s of people are dying in Pakistan floods because of global warming. People dying in African due to draught and weather failure are the result of global warming,africa,2022,August
The most extreme floods we are witnessing today are a DIRECT result of global warming. Climate change is REAL.,africa,2022,August
"Let everyone tweet and make #GlobalWarming trend at No.1 and be declared a #ClimateEmergency !!

@Twitter 
@Fridays4future 
@FFFMAPA",africa,2022,August
@Chrystalos @jayblackisfunny I hate how recent events should be a wake up call for everyone about turning point with climate change (but we still have people listening to idiots like MTG saying global warming is good for us).  I currently have a Prius and work from home/not driving much.  Cont..,africa,2022,August
"Unfortunately, climate science tells us that global warming will be unavoidable in the coming years and will have a serious impact on global systems (with Africa mostly exposed to these impacts).",africa,2022,August
"The recent flood in Pakistan is an unfortunate event and many have attributed it to the adverse effect of climate change . Also, the impact of CC will get worse as its effects are more systemic than just physical. 

What are the systemic risks we face with global warming? 🧵",africa,2022,August
@Chrystalos @jayblackisfunny Amen....especially given climate change events we're seeing now (and scientists seeing polar warming increasing more than anticipated).  If we get another GOP POTUS trying to censor the terms climate change or global warming: God help us.,africa,2022,August
"We are on earth to take care of life, to take care of one another #PrayForPakistan #FloodsInPakistan #GlobalWarming #ClimateChange",africa,2022,August
@Taofeeqoh__ Because of global warming .,africa,2022,August
I wonder how the world would be different if we took all the money that went to religion and its constant companion war and put it to work solving inequality and global warming,africa,2022,August
"The eco-responsible gesture that I expect, which will be a large-scale action in the reduction of CO2 emissions, is the end of the use of private jets. and why not laws?     Save the 🌎 is Now, take #action 
#ClimateActionNow #globalwarming https://t.co/M5QIsaDfts",africa,2022,August
"With each passing day, the future of humanity is much bleaker for lack of action against #Globalwarming, being a serious common problem that we must stem. it's not rhetoric that will save the planet, it's actions like this now. SAVE THE 🌎 IS NOW, TAKE ACTION. #ClimateActionNow",africa,2022,August
"50,000,000 people displaced in Pakistan are literally all Kenyan citizens displaced and then some 😭😭 it's so heartbreaking. 

Then someone says that global warming isn't real",africa,2022,August
use Sunny Day to exacerbate global warming. That'll show those locavore idiots and their fancy schmancy herb gardens and homemade compost.,africa,2022,August
"@Gidi_Traffic @FELASTORY Hmmm!Global warming,the real cause of Climaxtic change! 😂",africa,2022,August
"This is why we have global warming, illness, and covid/monkey pocks 😂😂😂 https://t.co/028NdzPb3u",africa,2022,August
"The following countries are experiencing heavy floods:
Nigeria 🇳🇬 
China 🇨🇳 
Pakistan 🇵🇰 
Sudan 🇸🇩 
Sierra Leone 🇸🇱 
Indonesia 🇮🇩 .... to mention but few

While Europe is experiencing worse draught in decades! And some ppl are still vehemently denying about the global warming 🙄",africa,2022,August
I don’t believe the whole global warming bull crap anymore,africa,2022,August
"@aliiroba You did something during you tenure to tackle global warming by reforestations, applauded. I know you being in senate you will move a motion about global warming",africa,2022,August
Who has the most responsibility for climate change/global warming? Rich countries. And they are continuing ramping up fossil fuel use and exploitation.   https://t.co/UHJEtMK7dT via @YouTube,africa,2022,August
Global warming or Ice age incoming? https://t.co/Bc4uGDx6MA,africa,2022,August
Tucker Carlson Says Global Warming Is Not A Threat But Winter Is https://t.co/7oKD8PYdzv,africa,2022,August
@BaboonForestEnt @therealGnlzamba kindly i want to know hw global warming causes that....some explanation please,africa,2022,August
@Blakjizuz @Taofeeqoh__ You forgot to add global warming and Putin’s war,africa,2022,August
"Vaccine hesitancy and global warming denial share much in common:
- Both are threats to personal, community, and global health.
- Action is contingent on co-operation and social policy, and
- Public support relies on trust in science. 
 https://t.co/8tzQK1gNQT",africa,2022,August
"Newsflash—&gt; this phenomenon called global warming, this what many advocates was screaming about it but u ignored their voices or made fun about it or in Worst case scenario put them in jail. https://t.co/6QB4x7fNfh",africa,2022,August
"Climate change poses a fundamental threat to the places, species and people’s livelihoods WWF works to protect. To adequately address this crisis we must urgently reduce carbon pollution and prepare for the consequences of global warming, which we are already experiencing. ❤️ https://t.co/yAMUKSxkd9",africa,2022,August
@buitengebieden must be wondering what he gotta do with global warming,africa,2022,August
@bamwinejnr Global warming,africa,2022,August
"AFRICAN COUNTRIES HAVE CALLED FOR AN END TO CLIMATE INJUSTICE, SAYING THE CONTINENT CAUSES LESS THAN FOUR PERCENT OF GLOBAL CO2 EMISSIONS, BUT PAYS ONE OF THE HIGHEST PRICES FOR GLOBAL WARMING.

Read more on : https://t.co/oaLGOOotyW https://t.co/JyImOcAAT4",africa,2022,August
"As global warming intensifies, we can expect the number of days with record high temperatures to increase. 

Human activities are a cause of the heat waves occurring globally. ☀️

#greenactionkenya #climatechange #heatwaves #drought #recordheat #extinctionrebellion #climateaction https://t.co/lLcP36F0Na",africa,2022,August
"Teaching children about #ClimateAction was hard for us. But the gardens made #GlobalWarming a reality for the young Gardeners. ""During drought, they realized water was scarce and plants were dying.""

#education @KichiniGardener @TransformingEdu @IBE_UNESCO @KofiAnnanFdn @TEACH4UG https://t.co/BTUhEeEQA8",africa,2022,August
"There is scientific consensus that human activity is the major contributor to climate change or global warming. Both the rate of current change, and its negative effects,
#ChangeLivesForever",africa,2022,August
"How much does factory farming contribute to global warming? Factory farming accounts for 37% of methane (CH4) emissions, which has more than 20 times the global warming potential of CO2.

#ChangeLivesForever",africa,2022,August
Eating fewer animal-based foods also benefits the planet by saving precious resources and reducing greenhouse gases associated with global warming.#ChangeLivesForever,africa,2022,August
"""Every year, cooking with solid fuels produces as much climate-harming emissions as the airline industry, including more than half of human-generated emissions of black carbon, which is 1,500 times more impactful on global warming than CO2.""Read the report👇🏾
#ACW22 
#SDG7
#SDG13 https://t.co/SmJwpsSXFQ",africa,2022,August
Swiss was created to help fund  fighting against global warming. The project also approached several NGOs in Europe to discuss differents actions to be carried out in partnership.#HaaS #Hash2O #Hash20 #H2O #BSC,africa,2022,August
"Factory farming accounts for 37% of methane (CH4) emissions, which has more than 20 times the global warming potential of CO2.[2]
#ChangeLivesForever",africa,2022,August
"At ongoing #AfricaClimateWeek, our team embarked on the planting of new tree species that are resistant to hot weather, with the aim of combating global warming, and environmental degradation

@UNenvoyMM @UNFCCC @UN_PGA @OvaisSarmad @topnigel @hlcchampions 
@AmyEPope https://t.co/Hdz9Ma6Brh",africa,2022,August
@africabnn It is right why would Africa pay more  for global warming.,africa,2022,August
Swiss was created to help fund  fighting against global warming. The project also approached several NGOs in Europe to discuss differents actions to be carried out in partnership.#HaaS #Hash2O #Hash20 #H2O #BSC,africa,2022,August
"African countries argue that the continent causes less than four percent of global CO2 emissions but pays one of the highest prices for global warming.

Details: https://t.co/4j8nFMGgGQ
#MonitorUpdates",africa,2022,August
"We need rapid and far-reaching transitions in almost all aspects our lives, economies and governance in order to limit the global warming to 1.5C. it is POSSIBLE.",africa,2022,August
"@TradeswithRage @Ewoodtser @stanleytavero @omengue @manuelgomez0929 @Joyce_Karam Lol. So you think because they call it global warming, the earth only warms up?  And yes Global warming MAY cause extreme colds in some regions.",africa,2022,August
"The effects of #globalwarming the signs are clear from every conner of the world. We need #environmental solutions now. #WisdomOfTheForest 🍃🦍🍃#BaboonForest #Africa #BaboonForestAcademy 
#Hiphop #Action #Activism #KnowledgeIsPower #TheForestIsforever ♾  https://t.co/w5WJniNJ3X https://t.co/HR8XTniJ3z",africa,2022,August
"@TheWineRules1 i'd be more concerned with it interrupting the gulf stream

at least then would wouldn't have to worry about global warming...",africa,2022,August
"“The entire northern hemisphere experienced a dry summer, which shows the speed of global warming and our fragility” https://t.co/AkJYKvRl7z",africa,2022,August
