content,place,year,month
"As districts in #Pakistan continue to be affected by massive #monsoon #rainfall and unprecedented levels of #flooding, the @WHO warns of significant #publichealth threats - #sustainability #sustainabilitymiddleast #sme #globalwarming #climatechange https://t.co/F6T4tkRr1f",India,2022,August
"HAPPIEST BIRTHDAY TO JEON FREAKIN' #JUNGKOOK 
Man is the cause of global warming❤️‍🔥🔥
#JUNGKOOKDAY 
#jungkookbirthday https://t.co/eTQX1shrC8",India,2022,August
"but they don't have the money to support the developing countries to cope with adversarial effects of climate change. After all it is their moral obligation to do so. 
#ClimateCrisis
#ClimateEmergency 
#ClimateJustice 
#FloodsInPakistan 
#GlobalWarming",India,2022,August
"Volunteer with us for #CleanDelhi #SwachhBharat #MyCleanIndia

Visit https://t.co/njuKWM8ZY4

#WeMeanToClean #Shramdaan #SwachhataHiSeva #Volunteer #Volunteering #Delhi #DelhiNCR #ClimateAction #GlobalWarming #ClimateChange #ClimateCrisis #ClimateEmergency #WeDontHaveTime https://t.co/4kSfghwR1E",India,2022,August
"Climate change is not a science, it is a religion created by the same people who use religion to do atrocities without being seen.     

   ""The narrative of man-made global warming is the perfect storm of demons and dangers https://t.co/7tcOSQ6YCW",India,2022,August
@khetawat_akshat think about better things like global warming…,India,2022,August
"Global Warming is gonna screw us all. Drought in China and the US, Heat Waves across Europe and now floods here in South Asia. There is no escape from this. https://t.co/BDEb9pK77k",India,2022,August
"Volunteer with us for #CleanDelhi #SwachhBharat #MyCleanIndia

Visit https://t.co/e0Jmo8NoLQ

#WeMeanToClean #Shramdaan #SwachhataHiSeva #Volunteer #Volunteering #Delhi #DelhiNCR #ClimateAction #GlobalWarming #ClimateChange #ClimateCrisis #ClimateEmergency #WeDontHaveTime https://t.co/vauFJJhF7v",India,2022,August
@MumukshuSavitri If you have read little science and geography and would never talked such nonsense things. Don't talk like mullah and maulavi. This is result of climate change and global warming not due to disrespect godesses.,India,2022,August
"Global warming is a matter of problem for the whole world. On the birth day of Poojay Guru @Gurmeetramrahim , tricks are planted all over the world and the environment is protected from being polluted.
#31DaysOfCelebration 
@DSSNewsUpdates @insanshobha @insan_honey",India,2022,August
"Contact - Cleangeosphere to manage Muncipal Solid Waste Efficiently
Visit : Link in bio
18004199793
.
#wastemanagement #mumbai #businesswaste #environment #nature #globalwarming #climatechange #muncipalwaste #cleangeosphere https://t.co/UDZX3IBIa8",India,2022,August
@PreetKGillMP @trussliz @FCDOGovUK @LabourCID @CanadaDev @labtowin @labourkashmir @PakinManchester @ukinpakistan @UNICEF_Pakistan countries without asking for something in return. Nothing is free and we know it first hand. So please don't bother yourselves and keep calculating your grocery baskets and electricity bills while emitting 80% of the greenhouse gases that cause global warming and violent weather,India,2022,August
"How Psychology Can Help Fight #ClimateChange—And #Climate Anxiety
via @angelahaupt @time
CC @MyZeroCarbon

https://t.co/8E2zpR68Ki

 #GlobalWarming  #ClimateAction #ClimateCrisis #ClimateEmergency",India,2022,August
"Its ironic how the advanced industrial nations  responsible for most of the global warming and Climate change are also able to continue unscathed or with minimum damage from adverse climatic events, while Pakistan is reeling under rains, China is believed to tide over the drought",India,2022,August
"Volunteer with us for #CleanDelhi #SwachhBharat #MyCleanIndia

Visit https://t.co/XK3ZReQKWN

#WeMeanToClean #Shramdaan #SwachhataHiSeva #Volunteer #Volunteering #Delhi #DelhiNCR #ClimateAction #GlobalWarming #ClimateChange #ClimateCrisis #ClimateEmergency #WeDontHaveTime https://t.co/B0LvdaNMGX",India,2022,August
"How does our #NativeTrees nursery look after an year?
We set it up with #Reuse of waste plastic packets
Read: https://t.co/jBon8EoanT

#WeMeanToClean #CleanDelhi #SwachhBharat #WasteManagement #EndPlasticPollution #Afforestation #GlobalWarming #ClimateAction #WMTCBlog https://t.co/l7q1BYqy2P",India,2022,August
"Currently in 2022, the estimate population of Pakistan is about 244.8 Million. 
Impacts:
.Exploitation of natural resources 
.Unemployment, Poverty alleviation 
.Global warming 
.Pollution 
.Water scarcity 
.Increase demand of housing,  energy,transportation,and health care",India,2022,August
"#FloodsPakistan — Provinces like Sindh and Balochistan are the worst affected as vast farmlands in these areas are now just landscapes of water.

#ClimateAlert #ReNew4India #climatechange #cleanenergy #globalwarming https://t.co/QEvpOcN5p4",India,2022,August
Ask them to take corrective messasures and also tell people .. the rain intensity if the rain faĺl haveens 1 to 2 can be managed if it happens 1 to 10 .. its over all ecological imbalance of global warming and deforestation and encroaching raja kaluve s @BSBommai https://t.co/skBZVkYdt2,India,2022,August
"United Nations Secretary-General António Guterres has warned the international community about the consequences of global warming. 

UN Secretary General enforced that if climate change is not taken seriously, another country can fall victim to its devastation. https://t.co/i1bczHuazr",India,2022,August
"China #Drought2022 highlights economic damage wrought by global warming

Record heatwave behind power shortages that paralysed industry probably caused by #climatechange, scientists say 

https://t.co/p8AGCAnhKj",India,2022,August
Global Warming and deforestation in #Kashmir is main reason for #Cloudburst and #Flashfloods https://t.co/9DDBimLjt2,India,2022,August
"@voltreum #GlobalWarming rapidly increases #Earth’s average surface temperature over the past century primarily due to the greenhouse gases, so it's time to act now before it's too late. So I strongly support these kinds of project.
#voltreum #microgrid",India,2022,August
"5. The real culprit behind global warming, the western world, totally silent.
6. Some highly pious people claiming it to be an azaab on gunahgaar people because gunaah only happen in Pakistan apparently.",India,2022,August
"Why Pakistan Was Hit So Hard By Floods https://t.co/mATBqcQzKW

#GlobalWarming #ClimateChange #ClimateCrisis #ClimateEmergency #WeDontHaveTime",India,2022,August
"Deadly #Floods in Pakistan bear the characteristics of #GlobalWarming. Extreme weather events are becoming increasingly common in other regions and Pakistan is no exception. 

Read more: https://t.co/AgaF5noXcv",India,2022,August
"Report: Rapid Global Turnarounds In Energy, Food And Equity Required For Prosperous Future Of Planet #countries #Earth #Environment #globalwarming #Life #lifestyle #planet https://t.co/Y4SPbc6rss
https://t.co/Etqrsrrdia",India,2022,August
"When we were kids and the 7chya batmya would say “Jalgaon is 47degrees” we would wonder how they managed it.

Lately the temps in Pune has been routinely in the high 30’s. 

But this is the pits! 

#GlobalWarming https://t.co/m139lfG6p0",India,2022,August
"@ani_digital @ANI What impact it is going to make on ongoing Russia Ukraine War, Recession in EU, Global Warming etc etc? be sensible, publish something which is useful, informative and helpful for the people at large.",India,2022,August
"One third of country is under water for heavy floods in Pakistan. Pakistan is not responsible for climate change or global warming but this is one of the most sufferer country in Asia.
#ClimateEmergency #ClimateCrisis #FloodsInPakistan @GretaThunberg @mitzijonelle  @FFFMAPA https://t.co/8c4FHK1x68",India,2022,August
@AliAman1988 I thought global warming ala less rainfall and we all gonna die due to heatwave.???? 😂😂😂,India,2022,August
"@dr_rita39 I have and I am quite shocked .. We were thinking of HARP.. 
but I really don’t want to go there. I want to restrict myself to not having introduced and installed prevention infrastructure. Cloud seeding &amp; wrong time of the years sounds heartless. Let’s stick with global warming",India,2022,August
"My latest for @arynewsud: Will #ClimateJustice be Served to the #Flood Affectees of #Pakistan?

@DrPervaizAmir @kashmala_14 

#ClimateFinance #GlobalWarming 

https://t.co/aCcgbkug1k",India,2022,August
"#PakistanFloods 
 #Greencover
#SoilExtiction
#GlobalWarming 
#Drought
#FloodSituation

Random events?? NO!!
Nature's elements are constantly balancing &amp; counter balancing to gift us a wonderful ecosystem.
We can not jeopardise it.
Action Now!!
@TimesNow 
@UNCCD 
@antonioguterres https://t.co/pMPbPZMvJJ",India,2022,August
"What does our constitution say about our environmental duties?
https://t.co/LHSJ7TIiFL

#WeMeanToClean #CleanDelhi #SwachhBharat #Green #Trees #Forests #Biodiversity #Volunteer #Volunteering #Shramdaan #GlobalWarming #ClimateChange #ClimateAction #WMTCBlog https://t.co/lGkkqd9BoI",India,2022,August
"Our lives depend on #trees
https://t.co/EE659TxicZ

#WeMeanToClean #CleanDelhi #SwachhBharat #AirPollution #DelhiPollution #Green #GlobalWarming #ClimateChange #Shramdaan #Afforestation #ClimateAction #WMTCBlog https://t.co/S6Wq8WfItz",India,2022,August
"The #UnitedNations Secretary General, António Guterres warned the international community about the consequences of #Globalwarming through his social media platforms.

#entertainemntbarcket #climatechange #community #socialmedia #pakistan https://t.co/ZKG15vXdZB",India,2022,August
@MichaelSuppo It's decided by world leaders to increase the energy cost in order to decrease the global warming. The higher the cost the lesser the usage and the lesser will be energy demand and production,India,2022,August
"@EmmanuelMacron I don't know what all the leaders are thinking but one day due to madness of a dictator, all the lives would be wipe out irrespective of the cause whether you name it #GlobalWarming or #war or any other thing.

We are not focusing on real issues but on the issues any govt. shows.",India,2022,August
"Hindustan Times: Rapid glacial melt puts India, Pakistan at high flash flood risk

https://t.co/STZ7YoEes3

#glacialMelt #flashFloods #GlobalWarming",India,2022,August
@SouthAsiaIndex He doesn't know that how many your dams and bridges are falling. Can't blame everything on global warming. It didn't start yesterday.,India,2022,August
"Volunteer with us for #CleanDelhi #SwachhBharat #MyCleanIndia

Visit https://t.co/njuKWM8ZY4

#WeMeanToClean #Volunteering #Volunteer #Shramdaan #Delhi #DelhiNCR #ClimateAction #GlobalWarming #ClimateChange #ClimateCrisis #ClimateEmergency #WeDontHaveTime https://t.co/8EiXfmRnmG",India,2022,August
