content,place,year,month,content_token
districts continue affected massive unprecedented levels warns significant threats,India,2022,August,"['districts', 'continue', 'affected', 'massive', 'unprecedented', 'levels', 'warns', 'significant', 'threats']"
happiest birthday jeon freakin man cause,India,2022,August,"['happiest', 'birthday', 'jeon', 'freakin', 'man', 'cause']"
money support developing countries cope adversarial effects moral obligation,India,2022,August,"['money', 'support', 'developing', 'countries', 'cope', 'adversarial', 'effects', 'moral', 'obligation']"
volunteer visit,India,2022,August,"['volunteer', 'visit']"
science religion created people religion atrocities without seen narrative manmade perfect storm demons dangers,India,2022,August,"['science', 'religion', 'created', 'people', 'religion', 'atrocities', 'without', 'seen', 'narrative', 'manmade', 'perfect', 'storm', 'demons', 'dangers']"
akshat think better things like,India,2022,August,"['akshat', 'think', 'better', 'things', 'like']"
gonna screw drought china heat waves across europe floods south asia escape,India,2022,August,"['gon', 'na', 'screw', 'drought', 'china', 'heat', 'waves', 'across', 'europe', 'floods', 'south', 'asia', 'escape']"
volunteer visit,India,2022,August,"['volunteer', 'visit']"
read little science geography would never talked nonsense things talk like mullah maulavi result due disrespect godesses,India,2022,August,"['read', 'little', 'science', 'geography', 'would', 'never', 'talked', 'nonsense', 'things', 'talk', 'like', 'mullah', 'maulavi', 'result', 'due', 'disrespect', 'godesses']"
matter problem whole world birth day poojay guru tricks planted world environment protected polluted honey,India,2022,August,"['matter', 'problem', 'whole', 'world', 'birth', 'day', 'poojay', 'guru', 'tricks', 'planted', 'world', 'environment', 'protected', 'polluted', 'honey']"
contact cleangeosphere manage muncipal solid waste efficientlyvisit link bio18004199793,India,2022,August,"['contact', 'cleangeosphere', 'manage', 'muncipal', 'solid', 'waste', 'efficientlyvisit', 'link', 'bio18004199793']"
pakistan countries without asking something return nothing free first hand please bother keep calculating grocery baskets electricity bills emitting 80 greenhouse gases cause violent weather,India,2022,August,"['pakistan', 'countries', 'without', 'asking', 'something', 'return', 'nothing', 'free', 'first', 'hand', 'please', 'bother', 'keep', 'calculating', 'grocery', 'baskets', 'electricity', 'bills', 'emitting', '80', 'greenhouse', 'gases', 'cause', 'violent', 'weather']"
psychology help fight anxietyvia cc,India,2022,August,"['psychology', 'help', 'fight', 'anxietyvia', 'cc']"
ironic advanced industrial nations responsible also able continue unscathed minimum damage adverse climatic events pakistan reeling rains china believed tide drought,India,2022,August,"['ironic', 'advanced', 'industrial', 'nations', 'responsible', 'also', 'able', 'continue', 'unscathed', 'minimum', 'damage', 'adverse', 'climatic', 'events', 'pakistan', 'reeling', 'rains', 'china', 'believed', 'tide', 'drought']"
volunteer visit,India,2022,August,"['volunteer', 'visit']"
nursery look yearwe set waste plastic packetsread,India,2022,August,"['nursery', 'look', 'yearwe', 'set', 'waste', 'plastic', 'packetsread']"
currently 2022 estimate population pakistan 2448 million impactsexploitation natural resources unemployment poverty alleviation pollution water scarcity increase demand housing energytransportationand health care,India,2022,August,"['currently', '2022', 'estimate', 'population', 'pakistan', '2448', 'million', 'impactsexploitation', 'natural', 'resources', 'unemployment', 'poverty', 'alleviation', 'pollution', 'water', 'scarcity', 'increase', 'demand', 'housing', 'energytransportationand', 'health', 'care']"
