,year,compound_usa,compound_india,compound_eu,compound_africa
0,2010,-0.00632265100671141,-0.08433333333333332,0.01540329218106996,
1,2011,-0.0014830265848670753,0.07238789237668161,0.06018621307072515,
2,2012,0.029727105553512323,0.028170229007633593,0.02396765932102442,
3,2013,-0.012889461756373937,0.030944160583941605,-0.011039220894200974,
4,2014,-0.024923553162853298,0.020769920544835417,0.009663952654232425,
5,2015,-0.04330118500604595,0.053270420932878274,-0.002007088744588745,
6,2016,-0.041102044841187464,0.03087224015493867,-0.012490287866559053,
7,2017,-0.02489118611037293,0.0822400927766733,-0.015669881598421313,
8,2018,-0.027505853608877126,0.09686845039018953,0.0032386946386946383,0.045190376569037655
9,2019,-0.03114959084909811,0.0880209912536443,0.023573881239242686,0.008380288461538462
10,2020,-0.027223581386216375,0.08274585674157303,0.03080738599871548,0.0035022012578616343
11,2021,-0.006983899104196134,0.0885465208747515,0.00934885145482389,0.03446620689655173
12,2022,-0.04367391833188532,0.018600765027322403,-0.026271894904458602,0.012920689655172415
